flag_gems.ops.mm.general_mm, [shape info]: [-, 352, 1536, 1536](batch, M, N, K), [count]: 245
flag_gems.ops.mm.general_mm, [shape info]: [-, 432, 2112, 7168](batch, M, N, K), [count]: 245
flag_gems.ops.mm.general_mm, [shape info]: [-, 432, 7168, 1024](batch, M, N, K), [count]: 245
flag_gems.ops.mm.general_mm, [shape info]: [-, 448, 7168, 1024](batch, M, N, K), [count]: 245
flag_gems.ops.mm.general_mm, [shape info]: [-, 512, 1536, 1536](batch, M, N, K), [count]: 245
flag_gems.ops.mm.general_mm, [shape info]: [-, 88, 7168, 1024](batch, M, N, K), [count]: 245
flag_gems.ops.mm.general_mm, [shape info]: [-, 120, 7168, 1024](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 168, 2112, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 200, 1536, 1536](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 200, 2112, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 248, 7168, 1024](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 416, 1536, 1536](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 416, 2112, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 416, 7168, 1024](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 432, 1536, 1536](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 512, 2112, 7168](batch, M, N, K), [count]: 244
flag_gems.ops.mm.general_mm, [shape info]: [-, 104, 2112, 7168](batch, M, N, K), [count]: 243
flag_gems.ops.mm.general_mm, [shape info]: [-, 152, 2112, 7168](batch, M, N, K), [count]: 243
flag_gems.ops.mm.general_mm, [shape info]: [-, 168, 1536, 1536](batch, M, N, K), [count]: 243
flag_gems.ops.mm.general_mm, [shape info]: [-, 184, 2112, 7168](batch, M, N, K), [count]: 243
flag_gems.ops.mm.general_mm, [shape info]: [-, 184, 7168, 1024](batch, M, N, K), [count]: 243
flag_gems.ops.mm.general_mm, [shape info]: [-, 232, 1536, 1536](batch, M, N, K), [count]: 243
flag_gems.ops.mm.general_mm, [shape info]: [-, 232, 2112, 7168](batch, M, N, K), [count]: 243
flag_gems.ops.mm.general_mm, [shape info]: [-, 272, 2112, 7168](batch, M, N, K), [count]: 243
flag_gems.ops.mm.general_mm, [shape info]: [-, 448, 2112, 7168](batch, M, N, K), [count]: 243
flag_gems.ops.mm.general_mm, [shape info]: [-, 48, 512, 7168](batch, M, N, K), [count]: 243
flag_gems.ops.mm.general_mm, [shape info]: [-, 48, 7168, 256](batch, M, N, K), [count]: 243
flag_gems.ops.mm.general_mm, [shape info]: [-, 56, 2112, 7168](batch, M, N, K), [count]: 243
flag_gems.ops.mm.general_mm, [shape info]: [-, 64, 1536, 1536](batch, M, N, K), [count]: 243
flag_gems.ops.mm.general_mm, [shape info]: [-, 104, 1536, 1536](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 120, 2112, 7168](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 152, 7168, 1024](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 184, 1536, 1536](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 192, 1536, 1536](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 240, 2112, 7168](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 272, 1536, 1536](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 288, 2112, 7168](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 304, 384, 7168](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 448, 1536, 1536](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 464, 2112, 7168](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 48, 1536, 1536](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 480, 2112, 7168](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 56, 1536, 1536](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 56, 7168, 1024](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 72, 2112, 7168](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 96, 384, 7168](batch, M, N, K), [count]: 242
flag_gems.ops.mm.general_mm, [shape info]: [-, 1, 7168, 1024](batch, M, N, K), [count]: 241
flag_gems.ops.mm.general_mm, [shape info]: [-, 136, 2112, 7168](batch, M, N, K), [count]: 241
flag_gems.ops.mm.general_mm, [shape info]: [-, 176, 512, 7168](batch, M, N, K), [count]: 241
flag_gems.ops.mm.general_mm, [shape info]: [-, 208, 2112, 7168](batch, M, N, K), [count]: 241
flag_gems.ops.mm.general_mm, [shape info]: [-, 288, 384, 7168](batch, M, N, K), [count]: 241
flag_gems.ops.mm.general_mm, [shape info]: [-, 352, 7168, 1024](batch, M, N, K), [count]: 241
flag_gems.ops.mm.general_mm, [shape info]: [-, 400, 2112, 7168](batch, M, N, K), [count]: 241
flag_gems.ops.mm.general_mm, [shape info]: [-, 48, 7168, 1024](batch, M, N, K), [count]: 241
flag_gems.ops.mm.general_mm, [shape info]: [-, 72, 1536, 1536](batch, M, N, K), [count]: 241
flag_gems.ops.mm.general_mm, [shape info]: [-, 80, 2112, 7168](batch, M, N, K), [count]: 241
flag_gems.ops.mm.general_mm, [shape info]: [-, 112, 2112, 7168](batch, M, N, K), [count]: 240
flag_gems.ops.mm.general_mm, [shape info]: [-, 128, 2112, 7168](batch, M, N, K), [count]: 240
flag_gems.ops.mm.general_mm, [shape info]: [-, 216, 2112, 7168](batch, M, N, K), [count]: 240
flag_gems.ops.mm.general_mm, [shape info]: [-, 224, 1536, 1536](batch, M, N, K), [count]: 240
flag_gems.ops.mm.general_mm, [shape info]: [-, 224, 2112, 7168](batch, M, N, K), [count]: 240
flag_gems.ops.mm.general_mm, [shape info]: [-, 224, 384, 7168](batch, M, N, K), [count]: 240
flag_gems.ops.mm.general_mm, [shape info]: [-, 232, 384, 7168](batch, M, N, K), [count]: 240
flag_gems.ops.mm.general_mm, [shape info]: [-, 24, 2112, 7168](batch, M, N, K), [count]: 240
flag_gems.ops.mm.general_mm, [shape info]: [-, 240, 1536, 1536](batch, M, N, K), [count]: 240
flag_gems.ops.mm.general_mm, [shape info]: [-, 368, 2112, 7168](batch, M, N, K), [count]: 240
flag_gems.ops.mm.general_mm, [shape info]: [-, 384, 2112, 7168](batch, M, N, K), [count]: 240
flag_gems.ops.mm.general_mm, [shape info]: [-, 40, 2112, 7168](batch, M, N, K), [count]: 240
flag_gems.ops.mm.general_mm, [shape info]: [-, 416, 384, 7168](batch, M, N, K), [count]: 240
flag_gems.ops.mm.general_mm, [shape info]: [-, 416, 512, 7168](batch, M, N, K), [count]: 240
flag_gems.ops.mm.general_mm, [shape info]: [-, 416, 7168, 256](batch, M, N, K), [count]: 240
flag_gems.ops.mm.general_mm, [shape info]: [-, 496, 2112, 7168](batch, M, N, K), [count]: 240
flag_gems.ops.mm.general_mm, [shape info]: [-, 96, 2112, 7168](batch, M, N, K), [count]: 240
flag_gems.ops.mm.general_mm, [shape info]: [-, 104, 384, 7168](batch, M, N, K), [count]: 239
flag_gems.ops.mm.general_mm, [shape info]: [-, 136, 1536, 1536](batch, M, N, K), [count]: 239
flag_gems.ops.mm.general_mm, [shape info]: [-, 144, 2112, 7168](batch, M, N, K), [count]: 239
flag_gems.ops.mm.general_mm, [shape info]: [-, 16, 512, 7168](batch, M, N, K), [count]: 239
